NFSP C++ Hold'em holdem_64x64_baseline (nfsp) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   9350000/50000000] avg_r= -0.034 | h2h=  0.0000 | br=14.3063 | avg= 0.5538 |   3116 ep/s | 51.4m
[Ep   9400000/50000000] avg_r=  0.031 | h2h=  0.0000 | br=14.2869 | avg= 0.5547 |   3081 ep/s | 51.6m
[Ep   9450000/50000000] avg_r= -0.048 | h2h=  0.0000 | br=14.3055 | avg= 0.5526 |   3070 ep/s | 51.9m
[Ep   9500000/50000000] avg_r=  0.020 | h2h=  0.0000 | br=14.3042 | avg= 0.5553 |   3106 ep/s | 52.2m
[Ep   9550000/50000000] avg_r=  0.038 | h2h=  0.0000 | br=14.1951 | avg= 0.5545 |   3101 ep/s | 52.4m
[Ep   9600000/50000000] avg_r=  0.048 | h2h=  0.0000 | br=14.2678 | avg= 0.5536 |   3088 ep/s | 52.7m
[Ep   9650000/50000000] avg_r=  0.034 | h2h=  0.0000 | br=14.3348 | avg= 0.5530 |   3102 ep/s | 53.0m
[Ep   9700000/50000000] avg_r= -0.001 | h2h=  0.0000 | br=14.1639 | avg= 0.5541 |   3114 ep/s | 53.2m
[Ep   9750000/50000000] avg_r=  0.046 | h2h=  0.0000 | br=14.1670 | avg= 0.5528 |   3073 ep/s | 53.5m
[Ep   9800000/50000000] avg_r=  0.028 | h2h=  0.0000 | br=14.3395 | avg= 0.5533 |   3099 ep/s | 53.8m
[Ep   9850000/50000000] avg_r= -0.009 | h2h=  0.0000 | br=14.2601 | avg= 0.5521 |   3438 ep/s | 54.0m
[Ep   9900000/50000000] avg_r=  0.046 | h2h=  0.0000 | br=14.3994 | avg= 0.5542 |   3675 ep/s | 54.2m
