NFSP C++ Hold'em holdem_64x64_meanvar (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   7550000/50000000] avg_r=  0.016 | h2h=  0.0000 | br= 2.4585 | avg= 0.4605 |   3259 ep/s | 40.7m
[Ep   7600000/50000000] avg_r=  0.010 | h2h=  0.0000 | br= 2.4591 | avg= 0.4613 |   3211 ep/s | 41.0m
[Ep   7650000/50000000] avg_r=  0.153 | h2h=  0.0000 | br= 2.4624 | avg= 0.4605 |   3266 ep/s | 41.2m
[Ep   7700000/50000000] avg_r=  0.046 | h2h=  0.0000 | br= 2.4577 | avg= 0.4614 |   3124 ep/s | 41.5m
[Ep   7750000/50000000] avg_r=  0.073 | h2h=  0.0000 | br= 2.4604 | avg= 0.4613 |   3120 ep/s | 41.8m
[Ep   7800000/50000000] avg_r=  0.091 | h2h=  0.0000 | br= 2.4576 | avg= 0.4601 |   3185 ep/s | 42.0m
[Ep   7850000/50000000] avg_r=  0.032 | h2h=  0.0000 | br= 2.4542 | avg= 0.4606 |   3129 ep/s | 42.3m
[Ep   7900000/50000000] avg_r=  0.142 | h2h=  0.0000 | br= 2.4575 | avg= 0.4606 |   3132 ep/s | 42.6m
[Ep   7950000/50000000] avg_r=  0.136 | h2h=  0.0000 | br= 2.4574 | avg= 0.4605 |   3112 ep/s | 42.8m
[Ep   8000000/50000000] avg_r=  0.008 | h2h=  0.0000 | br= 2.4585 | avg= 0.4589 |   3100 ep/s | 43.1m
[Ep   8050000/50000000] avg_r=  0.025 | h2h=  0.0000 | br= 2.4593 | avg= 0.4580 |   3163 ep/s | 43.4m
[Ep   8100000/50000000] avg_r= -0.005 | h2h=  0.0000 | br= 2.4573 | avg= 0.4574 |   3117 ep/s | 43.6m
[Ep   8150000/50000000] avg_r=  0.124 | h2h=  0.0000 | br= 2.4608 | avg= 0.4572 |   3156 ep/s | 43.9m
[Ep   8200000/50000000] avg_r=  0.033 | h2h=  0.0000 | br= 2.4564 | avg= 0.4574 |   3257 ep/s | 44.2m
[Ep   8250000/50000000] avg_r= -0.011 | h2h=  0.0000 | br= 2.4583 | avg= 0.4554 |   3233 ep/s | 44.4m
[Ep   8300000/50000000] avg_r= -0.010 | h2h=  0.0000 | br= 2.4580 | avg= 0.4558 |   3279 ep/s | 44.7m
