NFSP C++ Hold'em holdem_64x64_iqn_neutral (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   7550000/50000000] avg_r=  0.098 | h2h=  0.0000 | br= 2.3963 | avg= 0.5116 |   2983 ep/s | 42.7m
[Ep   7600000/50000000] avg_r=  0.190 | h2h=  0.0000 | br= 2.3946 | avg= 0.5116 |   2940 ep/s | 43.0m
[Ep   7650000/50000000] avg_r=  0.055 | h2h=  0.0000 | br= 2.4034 | avg= 0.5110 |   2995 ep/s | 43.3m
[Ep   7700000/50000000] avg_r=  0.008 | h2h=  0.0000 | br= 2.3900 | avg= 0.5122 |   3019 ep/s | 43.5m
[Ep   7750000/50000000] avg_r=  0.058 | h2h=  0.0000 | br= 2.3815 | avg= 0.5112 |   3014 ep/s | 43.8m
[Ep   7800000/50000000] avg_r=  0.059 | h2h=  0.0000 | br= 2.3791 | avg= 0.5120 |   3007 ep/s | 44.1m
[Ep   7850000/50000000] avg_r=  0.083 | h2h=  0.0000 | br= 2.3816 | avg= 0.5124 |   2991 ep/s | 44.4m
[Ep   7900000/50000000] avg_r=  0.026 | h2h=  0.0000 | br= 2.3769 | avg= 0.5123 |   3016 ep/s | 44.7m
[Ep   7950000/50000000] avg_r=  0.028 | h2h=  0.0000 | br= 2.3820 | avg= 0.5127 |   3028 ep/s | 44.9m
[Ep   8000000/50000000] avg_r=  0.024 | h2h=  0.0000 | br= 2.3857 | avg= 0.5105 |   2978 ep/s | 45.2m
[Ep   8050000/50000000] avg_r=  0.104 | h2h=  0.0000 | br= 2.3828 | avg= 0.5114 |   2998 ep/s | 45.5m
[Ep   8100000/50000000] avg_r= -0.077 | h2h=  0.0000 | br= 2.3818 | avg= 0.5118 |   2980 ep/s | 45.8m
[Ep   8150000/50000000] avg_r=  0.063 | h2h=  0.0000 | br= 2.3816 | avg= 0.5127 |   3014 ep/s | 46.0m
[Ep   8200000/50000000] avg_r=  0.043 | h2h=  0.0000 | br= 2.3810 | avg= 0.5122 |   3004 ep/s | 46.3m
[Ep   8250000/50000000] avg_r= -0.024 | h2h=  0.0000 | br= 2.3785 | avg= 0.5110 |   2981 ep/s | 46.6m
[Ep   8300000/50000000] avg_r=  0.073 | h2h=  0.0000 | br= 2.3829 | avg= 0.5126 |   3025 ep/s | 46.9m
[Ep   8350000/50000000] avg_r=  0.010 | h2h=  0.0000 | br= 2.3803 | avg= 0.5105 |   3001 ep/s | 47.2m
[Ep   8400000/50000000] avg_r=  0.029 | h2h=  0.0000 | br= 2.3808 | avg= 0.5117 |   2975 ep/s | 47.4m
[Ep   8450000/50000000] avg_r=  0.084 | h2h=  0.0000 | br= 2.3768 | avg= 0.5107 |   2985 ep/s | 47.7m
[Ep   8500000/50000000] avg_r=  0.087 | h2h=  0.0000 | br= 2.3771 | avg= 0.5111 |   2986 ep/s | 48.0m
[Ep   8550000/50000000] avg_r=  0.101 | h2h=  0.0000 | br= 2.3773 | avg= 0.5109 |   3027 ep/s | 48.3m
[Ep   8600000/50000000] avg_r=  0.001 | h2h=  0.0000 | br= 2.3791 | avg= 0.5092 |   2980 ep/s | 48.5m
[Ep   8650000/50000000] avg_r=  0.097 | h2h=  0.0000 | br= 2.3779 | avg= 0.5087 |   3017 ep/s | 48.8m
