NFSP C++ Hold'em holdem_64x64_mv_train_std_full (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   5650000/50000000] avg_r=  0.206 | h2h=  0.0000 | br= 0.8109 | avg= 0.4169 | fc=0.186 |   2412 ep/s | 41.4m
[Ep   5700000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 0.8103 | avg= 0.4173 | fc=0.199 |   2444 ep/s | 41.8m
[Ep   5750000/50000000] avg_r=  0.278 | h2h=  0.0000 | br= 0.8078 | avg= 0.4156 | fc=0.213 |   2407 ep/s | 42.1m
[Ep   5800000/50000000] avg_r=  0.294 | h2h=  0.0000 | br= 0.8097 | avg= 0.4181 | fc=0.201 |   2333 ep/s | 42.5m
[Ep   5850000/50000000] avg_r=  0.281 | h2h=  0.0000 | br= 0.8102 | avg= 0.4171 | fc=0.199 |   2407 ep/s | 42.8m
[Ep   5900000/50000000] avg_r=  0.283 | h2h=  0.0000 | br= 0.8103 | avg= 0.4186 | fc=0.162 |   2443 ep/s | 43.2m
[Ep   5950000/50000000] avg_r=  0.352 | h2h=  0.0000 | br= 0.8078 | avg= 0.4189 | fc=0.188 |   2335 ep/s | 43.5m
[Ep   6000000/50000000] avg_r=  0.265 | h2h=  0.0000 | br= 0.8095 | avg= 0.4186 | fc=0.174 |   2453 ep/s | 43.9m
[Ep   6050000/50000000] avg_r=  0.213 | h2h=  0.0000 | br= 0.8084 | avg= 0.4209 | fc=0.184 |   2401 ep/s | 44.2m
[Ep   6100000/50000000] avg_r=  0.246 | h2h=  0.0000 | br= 0.8068 | avg= 0.4216 | fc=0.234 |   2494 ep/s | 44.5m
[Ep   6150000/50000000] avg_r=  0.351 | h2h=  0.0000 | br= 0.8079 | avg= 0.4211 | fc=0.211 |   2386 ep/s | 44.9m
[Ep   6200000/50000000] avg_r=  0.278 | h2h=  0.0000 | br= 0.8060 | avg= 0.4205 | fc=0.195 |   2365 ep/s | 45.2m
[Ep   6250000/50000000] avg_r=  0.293 | h2h=  0.0000 | br= 0.8088 | avg= 0.4211 | fc=0.225 |   2508 ep/s | 45.6m
[Ep   6300000/50000000] avg_r=  0.277 | h2h=  0.0000 | br= 0.8075 | avg= 0.4214 | fc=0.145 |   2477 ep/s | 45.9m
[Ep   6350000/50000000] avg_r=  0.289 | h2h=  0.0000 | br= 0.8071 | avg= 0.4215 | fc=0.203 |   2423 ep/s | 46.3m
[Ep   6400000/50000000] avg_r=  0.262 | h2h=  0.0000 | br= 0.8114 | avg= 0.4142 | fc=0.170 |   2417 ep/s | 46.6m
[Ep   6450000/50000000] avg_r=  0.317 | h2h=  0.0000 | br= 0.8095 | avg= 0.4078 | fc=0.195 |   2342 ep/s | 47.0m
[Ep   6500000/50000000] avg_r=  0.320 | h2h=  0.0000 | br= 0.8077 | avg= 0.4098 | fc=0.205 |   2480 ep/s | 47.3m
[Ep   6550000/50000000] avg_r=  0.319 | h2h=  0.0000 | br= 0.8072 | avg= 0.4087 | fc=0.191 |   2441 ep/s | 47.6m
[Ep   6600000/50000000] avg_r=  0.264 | h2h=  0.0000 | br= 0.8094 | avg= 0.4086 | fc=0.203 |   2391 ep/s | 48.0m
[Ep   6650000/50000000] avg_r=  1.589 | h2h=  0.0000 | br= 0.7929 | avg= 0.4207 | fc=0.217 |   2606 ep/s | 48.3m
[Ep   6700000/50000000] avg_r=  1.768 | h2h=  0.0000 | br= 0.7351 | avg= 0.4256 | fc=0.186 |   2617 ep/s | 48.6m
[Ep   6750000/50000000] avg_r=  1.774 | h2h=  0.0000 | br= 0.6605 | avg= 0.4265 | fc=0.158 |   2636 ep/s | 48.9m
[Ep   6800000/50000000] avg_r=  1.803 | h2h=  0.0000 | br= 0.6311 | avg= 0.4282 | fc=0.135 |   2600 ep/s | 49.3m
[Ep   6850000/50000000] avg_r=  1.821 | h2h=  0.0000 | br= 0.6286 | avg= 0.4303 | fc=0.150 |   2632 ep/s | 49.6m
[Ep   6900000/50000000] avg_r=  1.745 | h2h=  0.0000 | br= 0.6287 | avg= 0.4323 | fc=0.170 |   2582 ep/s | 49.9m
[Ep   6950000/50000000] avg_r=  1.781 | h2h=  0.0000 | br= 0.6340 | avg= 0.4350 | fc=0.172 |   2636 ep/s | 50.2m
[Ep   7000000/50000000] avg_r=  1.779 | h2h=  0.0000 | br= 0.6303 | avg= 0.4338 | fc=0.164 |   2605 ep/s | 50.5m
[Ep   7050000/50000000] avg_r=  1.828 | h2h=  0.0000 | br= 0.6263 | avg= 0.4370 | fc=0.148 |   2577 ep/s | 50.9m
[Ep   7100000/50000000] avg_r=  1.809 | h2h=  0.0000 | br= 0.6309 | avg= 0.4386 | fc=0.180 |   2566 ep/s | 51.2m
[Ep   7150000/50000000] avg_r=  1.793 | h2h=  0.0000 | br= 0.6286 | avg= 0.4377 | fc=0.201 |   2572 ep/s | 51.5m
[Ep   7200000/50000000] avg_r=  1.756 | h2h=  0.0000 | br= 0.6304 | avg= 0.4416 | fc=0.141 |   2510 ep/s | 51.8m
[Ep   7250000/50000000] avg_r=  1.791 | h2h=  0.0000 | br= 0.6292 | avg= 0.4428 | fc=0.203 |   2584 ep/s | 52.2m
[Ep   7300000/50000000] avg_r=  1.813 | h2h=  0.0000 | br= 0.6315 | avg= 0.4422 | fc=0.137 |   2570 ep/s | 52.5m
[Ep   7350000/50000000] avg_r=  1.815 | h2h=  0.0000 | br= 0.6265 | avg= 0.4421 | fc=0.162 |   2595 ep/s | 52.8m
[Ep   7400000/50000000] avg_r=  1.754 | h2h=  0.0000 | br= 0.6260 | avg= 0.4446 | fc=0.162 |   2601 ep/s | 53.1m
[Ep   7450000/50000000] avg_r=  1.808 | h2h=  0.0000 | br= 0.6285 | avg= 0.4439 | fc=0.188 |   2589 ep/s | 53.4m
[Ep   7500000/50000000] avg_r=  1.768 | h2h=  0.0000 | br= 0.6288 | avg= 0.4448 | fc=0.152 |   2573 ep/s | 53.8m
[Ep   7550000/50000000] avg_r=  1.825 | h2h=  0.0000 | br= 0.6287 | avg= 0.4454 | fc=0.188 |   2549 ep/s | 54.1m
[Ep   7600000/50000000] avg_r=  1.786 | h2h=  0.0000 | br= 0.6249 | avg= 0.4464 | fc=0.176 |   2662 ep/s | 54.4m
[Ep   7650000/50000000] avg_r=  1.785 | h2h=  0.0000 | br= 0.6246 | avg= 0.4473 | fc=0.203 |   2636 ep/s | 54.7m
[Ep   7700000/50000000] avg_r=  1.808 | h2h=  0.0000 | br= 0.6264 | avg= 0.4460 | fc=0.193 |   2589 ep/s | 55.1m
[Ep   7750000/50000000] avg_r=  1.740 | h2h=  0.0000 | br= 0.6281 | avg= 0.4498 | fc=0.172 |   2565 ep/s | 55.4m
[Ep   7800000/50000000] avg_r=  1.796 | h2h=  0.0000 | br= 0.6267 | avg= 0.4495 | fc=0.158 |   2604 ep/s | 55.7m
[Ep   7850000/50000000] avg_r=  1.777 | h2h=  0.0000 | br= 0.6278 | avg= 0.4491 | fc=0.193 |   2620 ep/s | 56.0m
[Ep   7900000/50000000] avg_r=  1.830 | h2h=  0.0000 | br= 0.6285 | avg= 0.4513 | fc=0.178 |   2533 ep/s | 56.3m
[Ep   7950000/50000000] avg_r=  1.751 | h2h=  0.0000 | br= 0.6287 | avg= 0.4526 | fc=0.162 |   2591 ep/s | 56.7m
[Ep   8000000/50000000] avg_r=  1.816 | h2h=  0.0000 | br= 0.6228 | avg= 0.4522 | fc=0.178 |   2644 ep/s | 57.0m
[Ep   8050000/50000000] avg_r=  1.830 | h2h=  0.0000 | br= 0.6245 | avg= 0.4513 | fc=0.174 |   2574 ep/s | 57.3m
[Ep   8100000/50000000] avg_r=  1.773 | h2h=  0.0000 | br= 0.6258 | avg= 0.4523 | fc=0.170 |   2509 ep/s | 57.6m
[Ep   8150000/50000000] avg_r=  1.788 | h2h=  0.0000 | br= 0.6279 | avg= 0.4521 | fc=0.168 |   2575 ep/s | 58.0m
