NFSP C++ Hold'em holdem_64x64_mv_train_std_10 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   7850000/50000000] avg_r=  0.288 | h2h=  0.0000 | br= 1.0456 | avg= 0.3695 | fc=0.393 |   2364 ep/s | 56.9m
[Ep   7900000/50000000] avg_r=  0.266 | h2h=  0.0000 | br= 1.0460 | avg= 0.3686 | fc=0.318 |   2424 ep/s | 57.2m
[Ep   7950000/50000000] avg_r=  0.229 | h2h=  0.0000 | br= 1.0461 | avg= 0.3684 | fc=0.381 |   2420 ep/s | 57.6m
[Ep   8000000/50000000] avg_r=  0.213 | h2h=  0.0000 | br= 1.0478 | avg= 0.3694 | fc=0.395 |   2350 ep/s | 57.9m
[Ep   8050000/50000000] avg_r=  0.253 | h2h=  0.0000 | br= 1.0470 | avg= 0.3673 | fc=0.434 |   2359 ep/s | 58.3m
[Ep   8100000/50000000] avg_r=  0.239 | h2h=  0.0000 | br= 1.0501 | avg= 0.3688 | fc=0.355 |   2352 ep/s | 58.6m
[Ep   8150000/50000000] avg_r=  0.308 | h2h=  0.0000 | br= 1.0493 | avg= 0.3674 | fc=0.385 |   2360 ep/s | 59.0m
[Ep   8200000/50000000] avg_r=  0.300 | h2h=  0.0000 | br= 1.0481 | avg= 0.3683 | fc=0.336 |   2396 ep/s | 59.3m
[Ep   8250000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 1.0467 | avg= 0.3675 | fc=0.404 |   2348 ep/s | 59.7m
[Ep   8300000/50000000] avg_r=  0.198 | h2h=  0.0000 | br= 1.0464 | avg= 0.3705 | fc=0.369 |   2352 ep/s | 60.1m
[Ep   8350000/50000000] avg_r=  0.245 | h2h=  0.0000 | br= 1.0446 | avg= 0.3662 | fc=0.379 |   2373 ep/s | 60.4m
[Ep   8400000/50000000] avg_r=  0.271 | h2h=  0.0000 | br= 1.0447 | avg= 0.3684 | fc=0.395 |   2340 ep/s | 60.8m
[Ep   8450000/50000000] avg_r=  0.219 | h2h=  0.0000 | br= 1.0485 | avg= 0.3673 | fc=0.357 |   2375 ep/s | 61.1m
[Ep   8500000/50000000] avg_r=  0.284 | h2h=  0.0000 | br= 1.0484 | avg= 0.3657 | fc=0.379 |   2346 ep/s | 61.5m
[Ep   8550000/50000000] avg_r=  0.205 | h2h=  0.0000 | br= 1.0448 | avg= 0.3655 | fc=0.363 |   2336 ep/s | 61.8m
[Ep   8600000/50000000] avg_r=  0.269 | h2h=  0.0000 | br= 1.0482 | avg= 0.3671 | fc=0.383 |   2455 ep/s | 62.2m
[Ep   8650000/50000000] avg_r=  0.313 | h2h=  0.0000 | br= 1.0479 | avg= 0.3653 | fc=0.412 |   2368 ep/s | 62.5m
[Ep   8700000/50000000] avg_r=  0.273 | h2h=  0.0000 | br= 1.0490 | avg= 0.3655 | fc=0.383 |   2389 ep/s | 62.9m
